,words,collocate_count,total_count,MI
0,victory,1,5,8.82481762997645
1,fallen,1,11,9.962321153726386
2,hope,1,46,12.0264514911461
3,mattered,1,2,7.502889535089087
4,live,1,40,11.824817629976451
5,tiny,1,5,8.82481762997645
6,gather,1,5,8.82481762997645
7,noted,1,3,8.087852035810243
8,plan,1,14,10.310244457146691
9,tibby,6,135,10.994742631418763
10,certainly,1,44,11.962321153726386
11,there,4,408,13.175314877060584
12,male,1,9,9.672814536531401
13,same,1,62,12.457085845475964
14,escape,1,2,7.502889535089087
15,aunt,3,94,11.472515886045569
16,saying,1,32,11.502889535089087
17,place,2,113,12.323068497504275
18,speak,1,27,11.257777037252557
19,out,1,315,14.802097553476367
20,real,1,39,11.788291753951336
21,laughing,1,10,9.824817629976451
22,absence,2,12,9.087852035810243
23,does,2,64,11.502889535089087
24,questions,1,18,10.672814536531401
25,common,1,18,10.672814536531401
26,next,1,41,11.860441539707173
27,cannot,1,58,12.36087053021666
28,will,4,232,12.36087053021666
29,shame,1,7,9.310244457146691
30,us,1,123,13.445404040428327
31,lasting,1,2,7.502889535089087
32,about,3,261,12.945833030937816
33,slender,1,1,6.502889535089088
34,replied,1,47,12.057478386766725
35,right,1,140,13.632172552034056
36,attracted,1,6,9.087852035810243
37,acquaintance,1,8,9.502889535089087
38,r,1,3,8.087852035810243
39,means,1,17,10.590352376339426
40,would,5,422,12.902060628908911
41,don,9,267,11.39366046533433
42,giving,1,13,10.20332925323018
43,gong,2,2,6.502889535089088
44,approached,1,6,9.087852035810243
45,hardly,1,5,8.82481762997645
46,upon,1,54,12.257777037252556
47,before,2,93,12.042048346197118
48,tidied,1,2,7.502889535089087
49,entrusted,2,2,6.502889535089088
50,son,1,29,11.36087053021666
51,s,10,1015,13.168225452274264
52,into,3,242,12.836790271642528
53,which,2,208,13.20332925323018
54,continued,1,40,11.824817629976451
55,liked,1,18,10.672814536531401
56,seemed,1,73,12.692714093969105
57,without,2,81,11.842739537973713
58,meg,7,58,9.553515608159056
59,goes,1,16,10.502889535089087
60,or,2,297,13.717208655889854
61,showman,1,1,6.502889535089088
62,rather,3,107,11.65939402076908
